disk_1237652900767268885,2h57m4.4s,-7d41m8.3s,7M,44.26832774450936,-7.685636840479449,1237652900767268885,2422692645446882661,457,51901,551,44.268208,-7.685653,0.0173,4.77,10.522,0.015,0.173,0.06,1.076,0.168,0.384,0.133,0.295,0.114,0,2,3,2,1,0.4311504240322181
disk_1237652901308793003,3h39m34.9s,-6d2m20.0s,7M,54.895410860622164,-6.038885820244533,1237652901308793003,6377319312284191466,462,51909,467,54.89538,-6.038869,0.0221,2.62,10.205,0.034,-0.111,0.098,1.277,0.245,0.562,0.118,0.453,0.103,0,1,3,2,1,0.1259875519975067
disk_1237652901832294517,1h36m50.6s,-8d33m22.7s,7M,24.210827886722626,-8.55630559408012,1237652901832294517,2436027522470647487,663,52145,331,24.210838,-8.556273,0.0406,0.94,10.634,0.024,0.175,0.06,2.805,0.14,0.388,0.05,0.239,0.035,0,2,3,2,1,0.1227377448310117
disk_1237654029254787278,11h26m1.0s,1d59m2.9s,7M,171.50416048201885,1.984142205588649,1237654029254787278,2858310356280807855,512,51992,279,171.50424,1.984143,0.0228,3.24,10.796,0.019,0.181,0.059,1.466,0.184,0.513,0.094,0.395,0.078,0,2,3,7,1,0.28610739533166957
disk_1237654030328791126,11h28m17.7s,2d39m14.2s,7M,172.0737438765138,2.6539477103444273,1237654030328791126,2929347603528157817,4730,55630,846,172.07376,2.653963,0.0229,10.49,10.362,0.047,0.677,0.071,1.616,0.206,0.731,0.13,0.577,0.113,0,2,3,2,0,0.07994780575450754
disk_1237654670810546312,10h11m17.9s,0d26m32.7s,7M+TP,152.82457700128023,0.44242144003542355,1237654670810546312,2412137333822332310,270,51909,481,152.82447,0.442397,0.012,3.48,10.142,0.024,-0.119,0.053,1.598,0.154,0.789,0.109,0.644,0.102,0,2,3,2,1,0.3951138452788199
disk_1237655124470661181,12h2m23.0s,4d19m47.4s,7M,180.59582739272025,4.329835803490989,1237655124470661181,3817014127156528518,841,52375,106,180.59567,4.329816,0.0214,1.24,10.953,0.028,0.382,0.107,2.229,0.56,0.553,0.098,0.397,0.079,0,2,2,7,1,0.569476825273919
disk_1237655495979106610,13h29m50.4s,-1d25m44.5s,7M,202.45999348735975,-1.4290275535636197,1237655495979106610,6378832273570008058,911,52426,361,202.45982,-1.42904,0.0213,7.93,10.146,0.037,0.229,0.055,1.241,0.158,0.689,0.098,0.579,0.086,0,1,3,2,1,0.6259659736523668
disk_1237657190888898714,21h30m59.9s,0d0m2.2s,7M,322.74957697219173,6.057530432512648E-4,1237657190888898714,6443140475295641388,988,52520,99,322.74944,-5.9E-4,0.0301,12.43,10.477,0.031,0.487,0.069,1.227,0.215,0.544,0.121,0.433,0.1,0,3,3,2,1,4.3328609386754655
disk_1237663716555817100,0h42m15.9s,0d50m43.8s,7M,10.566243551853617,0.8454985287255133,1237663716555817100,2915097932832188452,393,51794,379,10.566123,0.845473,0.0179,1.94,10.817,0.013,-0.218,0.095,1.492,0.244,0.262,0.069,0.18,0.053,0,2,3,7,1,0.44356471859461477
disk_1237663784210464777,1h59m11.3s,0d6m35.2s,7M,29.79707696062458,0.10977833111269628,1237663784210464777,2482787552976700286,403,51871,511,29.797312,0.109821,0.0193,4.23,10.218,0.069,0.438,0.043,3.035,0.114,0.711,0.077,0.478,0.063,0,2,3,2,1,0.8599701449979086
disk_1237663784740716552,0h58m48.9s,0d35m14.1s,7M,14.703743577509496,0.587248958071196,1237663784740716552,6476213785059139843,395,51783,441,14.703573,0.587224,0.0181,7.78,10.469,0.02,0.364,0.044,1.88,0.096,0.922,0.011,0.74,0.015,0,2,3,2,1,0.6205854512399237
disk_1237671140406657069,11h44m50.5s,-1d36m4.7s,7M,176.21041015603313,-1.6013026679598397,1237671140406657069,3196221065821947545,329,52056,372,176.2103,-1.60132,0.0284,0.32,10.969,0.027,0.565,0.072,2.466,0.191,0.925,0.09,0.713,0.072,0,2,3,2,1,0.4012873927365508
disk_1237671763714179127,12h47m28.1s,3d2m19.6s,7M,191.8670772869959,3.0387791147871597,1237671763714179127,2427161060704266468,4755,55660,54,191.86722,3.038762,0.0176,1.7,10.103,0.046,0.079,0.08,1.888,0.204,0.382,0.107,0.255,0.082,0,2,3,2,0,0.5167308293032795
disk_1237671764248363271,12h44m28.1s,-3d0m18.9s,7M,191.11707666187354,-3.0052485854910107,1237671764248363271,6378973015353329105,336,51999,208,191.11716,-3.005244,0.0239,5.11,10.712,0.019,-0.032,0.092,0.791,0.264,0.245,0.105,0.189,0.086,0,1,3,7,1,0.3000590850903773
disk_1237674651535867994,11h28m16.4s,0d53m28.8s,7M,172.06832705197374,0.8913365997179518,1237674651535867994,2929453156644434268,281,51614,442,172.06834,0.891369,0.0399,0.58,10.907,0.024,0.492,0.101,1.698,0.226,0.514,0.133,0.383,0.115,0,2,3,7,1,0.12560797186985329
